name,summary,url,image_urls,text_length,word_count,sentences_count,complexity_score,readability_score,topic_keywords,age_group_hint,predicted_age_group
Action Man,"Action Man is an action figure launched in Britain in 1966 by Palitoy as a licensed copy of Hasbro's American ""movable fighting man"", G.I. Joe.
Action Man was originally produced and sold in the United Kingdom and Australia by Palitoy Ltd of Coalville, Leicestershire from 1966 until 1984. Palitoy offered sub-licences to toy manufacturers in other markets.
The figure and accessories were originally based on the Hasbro (US) 1964 G.I. Joe figure, for 1966–1969 production. Hasbro's G.I. Joe figure was patented in 1966. Even the specific method of attaching the appendages was patented as a ""Connection for Use in Toy Figures"". The first Action Man figures were Action Soldier, Action Sailor and Action Pilot. All were available in the four original hair colours: Blonde, Auburn, Brown and Black. They were accompanied by outfits depicting United States Forces of World War II and the Korean War. From 1970 to 1984, the basic boxed figures and accompanying uniforms and accessories reflected the forces of the United Kingdom rather than the USA. Action Man was reintroduced in 1993, based on the G.I. Joe Hall of Fame figure of that time.",https://en.wikipedia.org/wiki/Action_Man,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Palitoy_ActionMan_Packaging.jpg/220px-Palitoy_ActionMan_Packaging.jpg,1139,187,18,254.81,124.81,"1966, action, figure, joe, man",unspecified,adult
Action figure,"An action figure is a poseable character model figure made most commonly of plastic, and often based upon characters from a film, comic book, military, video game or television program; fictional or historical. These figures are usually marketed toward boys and adult collectors. The term was coined by Hasbro in 1964 to market G.I. Joe to boys (while competitors called similar offerings boy's dolls).
According to a 2005 study in Sweden, action figures which display traditional masculine traits primarily target boys. While most commonly marketed as a child's toy, the action figure has gained widespread acceptance as collector item for adults. In such a case, the item may be produced and designed on the assumption it will be bought solely for display as a collectible and not played with like a child's toy.",https://en.wikipedia.org/wiki/Action_figure,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Soldier_action_figures.jpg/200px-Soldier_action_figures.jpg,814,133,7,194.86,119.49,"action, boys, child, commonly, figure",,children
Action figure,"An action figure is a poseable character model figure made most commonly of plastic, and often based upon characters from a film, comic book, military, video game or television program; fictional or historical. These figures are usually marketed toward boys and adult collectors. The term was coined by Hasbro in 1964 to market G.I. Joe to boys (while competitors called similar offerings boy's dolls).
According to a 2005 study in Sweden, action figures which display traditional masculine traits primarily target boys. While most commonly marketed as a child's toy, the action figure has gained widespread acceptance as collector item for adults. In such a case, the item may be produced and designed on the assumption it will be bought solely for display as a collectible and not played with like a child's toy.",https://en.wikipedia.org/wiki/Action_figure,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Soldier_action_figures.jpg/200px-Soldier_action_figures.jpg,814,133,7,194.86,119.49,"action, boys, child, commonly, figure",,children
North American International Toy Fair,"The North American International Toy Fair (formerly the American International Toy Fair and also known as Toy Fair New York) is an annual toy industry trade show held in mid-February in New York City's Jacob K. Javits Convention Center and at toy showrooms around the city. The event is open to the toy trade only – toy industry professionals, retailers, and press representatives. It is produced by The Toy Association. Toy Fair New York's promoters describe it as the largest toy trade show in the Western hemisphere.",https://en.wikipedia.org/wiki/North_American_International_Toy_Fair,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/TIA_2006ToyFair_Logo_s.png/250px-TIA_2006ToyFair_Logo_s.png,519,87,5,99.54,120.13,"fair, new, toy, trade, york",,children
Ancient Egypt,"Ancient Egypt was a civilization of ancient Northeast Africa. It was concentrated along the lower reaches of the Nile River, situated within the contemporary territory of modern-day Egypt. Ancient Egyptian civilization followed prehistoric Egypt and coalesced around 3100 BC (according to conventional Egyptian chronology) with the political unification of Upper and Lower Egypt under pharaoh or king Menes (often identified with Narmer). The history of ancient Egypt unfolded as a series of stable kingdoms interspersed by periods of relative instability known as ""Intermediate Periods"". The various kingdoms fall into one of three categories: the Old Kingdom of the Early Bronze Age, the Middle Kingdom of the Middle Bronze Age, or the New Kingdom of the Late Bronze Age.
Ancient Egypt reached the pinnacle of its power during the New Kingdom, ruling much of Nubia and a sizable portion of the Levant. After this period, it entered an era of slow decline. During the course of its history, ancient Egypt was invaded or conquered by a number of foreign powers, including the Hyksos, the Nubians, the Assyrians, the Achaemenid Persians, and the Macedonians under Alexander the Great. The Greek Ptolemaic Kingdom, formed in the aftermath of Alexander's death, ruled until 30 BC, when, under Cleopatra, it fell to the Roman Empire and became a Roman province. Egypt remained under Roman control until 642 AD, when it was conquered by the Rashidun Caliphate.
The success of ancient Egyptian civilization came partly from its ability to adapt to the conditions of the Nile River valley for agriculture. The predictable flooding and controlled irrigation of the fertile valley produced surplus crops, which supported a more dense population, and social development and culture. With resources to spare, the administration sponsored mineral exploitation of the valley and surrounding desert regions, the early development of an independent writing system, the organization of collective construction and agricultural projects, trade with surrounding regions, and a military intended to assert Egyptian dominance. Motivating and organizing these activities was a bureaucracy of elite scribes, religious leaders, and administrators under the control of a pharaoh, who ensured the cooperation and unity of the Egyptian people in the context of an elaborate system of religious beliefs.
The many achievements of the ancient Egyptians include the quarrying, surveying, and construction techniques that supported the building of monumental pyramids, temples, and obelisks; a system of mathematics, a practical and effective system of medicine, irrigation systems, and agricultural production techniques, the first known planked boats, Egyptian faience and glass technology, new forms of literature, and the earliest known peace treaty, made with the Hittites. Ancient Egypt has left a lasting legacy. Its art and architecture were widely copied, and its antiquities were carried off to be studied, admired or coveted in the far corners of the world. Its monumental ruins have inspired the imaginations of travelers and writers for millennia. A newfound respect for antiquities and excavations in the early modern period by Europeans and Egyptians has led to the scientific investigation of Egyptian civilization and a greater appreciation of its cultural legacy.",https://en.wikipedia.org/wiki/Ancient_Egypt,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Ancient_Egypt_map-en.svg/150px-Ancient_Egypt_map-en.svg.png,3350,507,17,1099.46,105.98,"ancient, civilization, egypt, egyptian, kingdom",unspecified,adult
Ancient Rome,"In modern historiography, ancient Rome is the Roman civilisation from the founding of the Italian city of Rome in the 8th century BC to the collapse of the Western Roman Empire in the 5th century AD. It encompasses the Roman Kingdom (753–509 BC), the Roman Republic (509–27 BC), and the Roman Empire (27 BC–476 AD) until the fall of the western empire.
Ancient Rome began as an Italic settlement, traditionally dated to 753 BC, beside the River Tiber in the Italian Peninsula. The settlement grew into the city and polity of Rome, and came to control its neighbours through a combination of treaties and military strength. It eventually controlled the Italian Peninsula, assimilating the Greek culture of southern Italy (Magna Grecia) and the Etruscan culture, and then became the dominant power in the Mediterranean region and parts of Europe. At its height it controlled the North African coast, Egypt, Southern Europe, and most of Western Europe, the Balkans, Crimea, and much of the Middle East, including Anatolia, Levant, and parts of Mesopotamia and Arabia. That empire was among the largest empires in the ancient world, covering around 5 million square kilometres (1.9 million square miles) in AD 117, with an estimated 50 to 90 million inhabitants, roughly 20% of the world's population at the time. The Roman state evolved from an elective monarchy to a classical republic and then to an increasingly autocratic military dictatorship during the Empire.
Ancient Rome is often grouped into classical antiquity together with ancient Greece, and their similar cultures and societies are known as the Greco-Roman world. Ancient Roman civilisation has contributed to modern language, religion, society, technology, law, politics, government, warfare, art, literature, architecture, and engineering. Rome professionalised and expanded its military and created a system of government called res publica, the inspiration for modern republics such as the United States and France. It achieved impressive technological and architectural feats, such as the empire-wide construction of aqueducts and roads, as well as more grandiose monuments and facilities.",https://en.wikipedia.org/wiki/Ancient_Rome,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Roman_Republic_Empire_map.gif/250px-Roman_Republic_Empire_map.gif,2156,333,13,662.77,109.95,"ancient, bc, empire, roman, rome",,adult
Architect,"An architect is a person who plans, designs, and oversees the construction of buildings. To practice architecture means to provide services in connection with the design of buildings and the space within the site surrounding the buildings that have human occupancy or use as their principal purpose. Etymologically, the term architect derives from the Latin architectus, which derives from the Greek (arkhi-, chief + tekton, builder), i.e., chief builder.
The professional requirements for architects vary from location to location. An architect's decisions affect public safety, and thus the architect must undergo specialised training consisting of advanced education and a practicum (or internship) for practical experience to earn a license to practice architecture. Practical, technical, and academic requirements for becoming an architect vary by jurisdiction though the formal study of architecture in academic institutions has played a pivotal role in the development of the profession.",https://en.wikipedia.org/wiki/Architect,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Architect.png/250px-Architect.png,994,144,8,354.58,118.65,"academic, architect, architecture, buildings, requirements",,adult
Arsenal F.C.,"The Arsenal Football Club, commonly known as simply Arsenal, is a professional football club based in Holloway, North London, England. They compete in the Premier League, the top tier of English football. In domestic football, Arsenal have won 13 league titles (including one unbeaten title), a record 14 FA Cups, two League Cups, 17 FA Community Shields, and a Football League Centenary Trophy. In European football, they have one European Cup Winners' Cup and one Inter-Cities Fairs Cup. In terms of trophies won, it is the third-most successful club in English football.
Arsenal was the first club from southern England to join the Football League in 1893, and it reached the First Division in 1904. Relegated only once, in 1913, it continues the longest streak in the top division, and has won the second-most top-flight matches in English football history. In the 1930s, Arsenal won five League Championships and two FA Cups, and another FA Cup and two Championships after the war. In 1970–71, it won its first League and FA Cup double. Between 1989 and 2005, they won five league titles and five FA Cups, including two more doubles. They completed the 20th century with the highest average league position. Between 1998 and 2017, Arsenal qualified for the UEFA Champions League for an English football record nineteen consecutive seasons.
In 1886, munitions workers at the Royal Arsenal in Woolwich founded the club as Dial Square. In 1913, the club crossed the city to Arsenal Stadium in Highbury, becoming close neighbours of Tottenham Hotspur, and creating the North London derby. Herbert Chapman won the club its first silverware, and his legacy enabled a trophy-laden period in the 1930s. He helped introduce the WM formation, floodlights, and shirt numbers; he also added the white sleeves and brighter red to the club's jersey. Arsène Wenger is the club's longest-serving manager and has won the most trophies. He won a record seven FA Cups, and his third and final title-winning team set an English record for the longest top-flight unbeaten league run at 49 games between 2003 and 2004, receiving the nickname The Invincibles.
In 2006, the club moved to the nearby Emirates Stadium. With an annual revenue of £367.1m in the 2021–22 season, Arsenal was estimated to be worth US$2.26 billion by Forbes, making it the world's tenth-most valuable football club, while it is one of the most followed on social media. The motto of the club is Victoria Concordia Crescit, Latin for ""Victory Through Harmony"".",https://en.wikipedia.org/wiki/Arsenal_F.C.,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,2516,414,22,685.76,117.85,"arsenal, club, football, league, won",,adult
Association football,"Association football, more commonly known as football or soccer, is a team sport played between two teams of 11 players each, who almost exclusively use their feet to propel a ball around a rectangular field called a pitch. The objective of the game is to score more goals than the opposing team by moving the ball beyond the goal line into a rectangular-framed goal defended by the opposing team. Traditionally, the game has been played over two 45-minute halves, for a total match time of 90 minutes. With an estimated 250 million players active in over 200 countries and territories, it is the world's most popular sport.
The game of association football is played in accordance with the Laws of the Game, a set of rules that has been in effect since 1863 and maintained by the IFAB since 1886. The game is played with a football that is 68–70 cm (27–28 in) in circumference. The two teams compete to score goals by getting the ball into the other team's goal (between the posts, under the bar, and fully across the goal line). When the ball is in play, the players mainly use their feet, but may also use any other part of their body, such as their head, chest and thighs, except for their hands or arms, to control, strike, or pass the ball. Only the goalkeepers may use their hands and arms, and that only within the penalty area. The team that has scored more goals at the end of the game is the winner. There are situations where a goal can be disallowed, such as an offside call or a foul in the build-up to the goal. Depending on the format of the competition, an equal number of goals scored may result in a draw being declared with 1 point awarded to each team, or the game goes into extra time or a penalty shoot-out.
Internationally, association football is governed by FIFA. Under FIFA, there are six continental confederations: AFC, CAF, CONCACAF, CONMEBOL, OFC, and UEFA. Of these confederations, CONMEBOL is the oldest one, being founded in 1916. National associations (e.g. The FA in England) are responsible for managing the game in their own countries both professionally and at an amateur level, and coordinating competitions in accordance with the Laws of the Game. The most prestigious senior international competitions are the FIFA World Cup and the FIFA Women's World Cup. The men's World Cup is the most-viewed sporting event in the world, surpassing the Olympic Games. The two most prestigious competitions in club football are the UEFA Champions League and the UEFA Women's Champions League, which attract an extensive television audience worldwide. The final of the men's tournament is the most-watched annual sporting event in the world.",https://en.wikipedia.org/wiki/Association_football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Football_in_Bloomington%2C_Indiana%2C_1995.jpg/300px-Football_in_Bloomington%2C_Indiana%2C_1995.jpg,2668,460,21,461.01,115.82,"football, game, goal, team, world",,teen
Brio (company),"Brio (stylized BRIO) is a wooden toy company founded in Sweden. The company was founded in the small town of Boalt, Scania, Götaland in 1884 by basket maker Ivar Bengtsson. For a long time the company was based in Osby, Scania, in southern Sweden. In 1908 Ivar's three sons took the company over and gave it the name ""BRIO"", which is an acronym for: BRöderna ('the brothers') Ivarsson (in) Osby. In 2006 BRIO moved its headquarters to Malmö, Scania. It is best known for its wooden toy trains, sold in Europe since 1958.",https://en.wikipedia.org/wiki/Brio_(company),https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Brio_Logo.svg/220px-Brio_Logo.svg.png,520,93,6,101.25,123.79,"brio, company, ivar, scania, toy",unspecified,children
